"filename", "language", "Python", "Batch", "PowerShell", "Properties", "C", "JSON", "reStructuredText", "YAML", "Markdown", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\transform.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\transparent_pointer.py", "Python", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 89
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\types.py", "Python", 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 307
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\user_control.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\utils.py", "Python", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 162
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\version.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\vertical_divider.py", "Python", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22, 103
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\view.py", "Python", 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 45, 267
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\webview.py", "Python", 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 46, 232
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\window_drag_area.py", "Python", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21, 138
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_runtime\__init__.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_runtime\app.py", "Python", 630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 118, 766
